,Model,Colour,Memory,RAM,Battery,Rear_camera_mp,Front_Camera_mp,AI_Lens,Mobile_Height,Processor,Price
0,Infinix SMART 7,Night Black,64,4,6000,13MP,5MP,True,16.76,Unisoc Spreadtrum SC9863A1,7299.0
1,Infinix SMART 7,Azure Blue,64,4,6000,13MP,5MP,True,16.76,Unisoc Spreadtrum SC9863A1,7299.0
2,MOTOROLA G32,Mineral Gray,128,8,5000,50MP,16MP,False,16.64,Qualcomm Snapdragon 680,11999.0
3,POCO C50,Royal Blue,32,2,5000,8MP,5MP,False,16.56,Mediatek Helio A22,5649.0
4,Infinix HOT 30i,Marigold,128,8,5000,50MP,5MP,True,16.76,G37,8999.0
5,Infinix HOT 30i,Glacier Blue,128,8,5000,50MP,5MP,True,16.76,G37,8999.0
6,Infinix HOT 30i,Mirror Black,128,8,5000,50MP,5MP,True,16.76,G37,8999.0
7,Infinix HOT 30i,Diamond White,128,8,5000,50MP,5MP,True,16.76,G37,8999.0
8,Infinix HOT 30i,Diamond White,64,4,5000,50MP,5MP,True,16.76,G37,7999.0
9,Infinix HOT 30i,Mirror Black,64,4,5000,50MP,5MP,True,16.76,G37,7999.0
10,REDMI 10,Shadow Black,64,4,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,9499.0
11,Infinix HOT 30i,Glacier Blue,64,4,5000,50MP,5MP,True,16.76,G37,7999.0
12,Infinix SMART 7,Emerald Green,64,4,6000,13MP,5MP,True,16.76,Unisoc Spreadtrum SC9863A1,7299.0
13,SAMSUNG Galaxy F13,Waterfall Blue,128,4,6000,50MP,8MP,False,16.76,Exynos 850,10699.0
14,SAMSUNG Galaxy F04,Opal Green,64,4,5000,13MP,5MP,False,16.51,Mediatek Helio P35,7299.0
15,POCO C51,Royal Blue,64,4,5000,8MP,5MP,False,16.56,Helio G36,6999.0
16,Infinix HOT 30i,Marigold,64,4,5000,50MP,5MP,True,16.76,G37,7999.0
17,POCO C51,Power Black,64,4,5000,8MP,5MP,False,16.56,Helio G36,6999.0
18,POCO C50,Country Green,32,2,5000,8MP,5MP,False,16.56,Mediatek Helio A22,5649.0
19,MOTOROLA e13,Cosmic Black,64,4,5000,13MP,5MP,False,16.51,Unisoc T606,7299.0
20,vivo T2x 5G,Aurora Gold,128,8,5000,50MP,8MP,False,16.71,Dimensity 6020,15999.0
21,vivo T2x 5G,Marine Blue,128,8,5000,50MP,8MP,False,16.71,Dimensity 6020,15999.0
22,vivo T2x 5G,Glimmer Black,128,8,5000,50MP,8MP,False,16.71,Dimensity 6020,15999.0
23,vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,False,16.71,Dimensity 6020,13999.0
24,vivo T2x 5G,Glimmer Black,128,4,5000,50MP,8MP,False,16.71,Dimensity 6020,12999.0
25,vivo T2x 5G,Glimmer Black,128,6,5000,50MP,8MP,False,16.71,Dimensity 6020,13999.0
26,vivo T2x 5G,Marine Blue,128,4,5000,50MP,8MP,False,16.71,Dimensity 6020,12999.0
27,vivo T2x 5G,Marine Blue,128,6,5000,50MP,8MP,False,16.71,Dimensity 6020,13999.0
28,Infinix Smart 7 HD,Green Apple,64,2,5000,8MP,5MP,True,16.76,Spreadtrum SC9863A1,6199.0
29,REDMI A1+,Black,32,3,5000,8MP,5MP,False,16.56,Mediatek Helio A22,6599.0
30,REDMI A1+,Light Blue,32,3,5000,8MP,5MP,False,16.56,Mediatek Helio A22,6599.0
31,POCO C55,Power Black,64,4,5000,50MP,5MP,False,17.04,Mediatek Helio G85,7749.0
32,REDMI A1+,Light Green,32,3,5000,8MP,5MP,False,16.56,Mediatek Helio A22,6599.0
33,POCO C55,Cool Blue,64,4,5000,50MP,5MP,False,17.04,Mediatek Helio G85,7749.0
34,POCO C55,Forest Green,64,4,5000,50MP,5MP,False,17.04,Mediatek Helio G85,7749.0
35,POCO C55,Cool Blue,128,6,5000,50MP,5MP,False,17.04,Mediatek Helio G85,8999.0
36,SAMSUNG Galaxy F13,Nightsky Green,64,4,6000,50MP,8MP,False,16.76,Exynos 850,9699.0
37,SAMSUNG Galaxy F13,Nightsky Green,128,4,6000,50MP,8MP,False,16.76,Exynos 850,10699.0
38,MOTOROLA g13,Matte Charcoal,128,4,5000,50MP,8MP,False,16.51,Helio G85,9999.0
39,POCO M4 5G,Cool Blue,64,4,5000,50MP,8MP,False,16.71,Mediatek Dimensity 700,11999.0
40,MOTOROLA e32,Eco Black,64,4,5000,50MP,8MP,False,16.51,Mediatek Helio G37,7999.0
41,REDMI 10,Caribbean Green,128,6,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,10999.0
42,SAMSUNG Galaxy F04,Jade Purple,64,4,5000,13MP,5MP,False,16.51,Mediatek Helio P35,7299.0
43,MOTOROLA G32,Satin Silver,128,8,5000,50MP,16MP,False,16.64,Qualcomm Snapdragon 680,11999.0
44,REDMI 10,Sunrise Orange,64,4,6000,50MP,5MP,False,17.02,Qualcomm Snapdragon 680,9499.0
45,SAMSUNG Galaxy F13,Sunrise Copper,128,4,6000,50MP,8MP,False,16.76,Exynos 850,10699.0
46,MOTOROLA e32,Arctic Blue,64,4,5000,50MP,8MP,False,16.51,Mediatek Helio G37,7999.0
47,MOTOROLA g13,Lavender Blue,128,4,5000,50MP,8MP,False,16.51,Helio G85,9999.0
48,MOTOROLA e32,Arctic Blue,64,4,5000,50MP,8MP,False,16.51,Mediatek Helio G37,7999.0
49,POCO C55,Power Black,128,6,5000,50MP,5MP,False,17.04,Mediatek Helio G85,8999.0
50,vivo T2 5G,Velocity Wave,128,8,4500,40MP,16MP,False,16.21,Snapdragon 695,20999.0
51,vivo T2 5G,Nitro Blaze,128,8,4500,40MP,16MP,False,16.21,Snapdragon 695,20999.0
52,MOTOROLA G62 5G,Frosted Blue,128,6,5000,50MP,16MP,False,16.64,Qualcomm Snapdragon 695 5G,15499.0
53,POCO C50,Royal Blue,32,2,5000,8MP,5MP,False,16.56,Mediatek Helio A22,6999.0
54,vivo T2 5G,Nitro Blaze,128,6,4500,32MP,16MP,False,16.21,Snapdragon 695,18999.0
55,vivo T2 5G,Velocity Wave,128,6,4500,32MP,16MP,False,16.21,Snapdragon 695,18999.0
56,POCO M5,Yellow,64,4,5000,50MP,8MP,False,16.71,Mediatek Helio G99,12499.0
57,MOTOROLA G62 5G,Midnight Gray,128,6,5000,50MP,16MP,False,16.64,Qualcomm Snapdragon 695 5G,15499.0
58,POCO M4 5G,Power Black,64,4,5000,50MP,8MP,False,16.71,Mediatek Dimensity 700,11999.0
59,SAMSUNG Galaxy F13,Waterfall Blue,64,4,6000,50MP,8MP,False,16.76,Exynos 850,9699.0
60,SAMSUNG Galaxy F13,Sunrise Copper,64,4,6000,50MP,8MP,False,16.76,Exynos 850,9699.0
61,POCO M5,Power Black,64,4,5000,50MP,8MP,False,16.71,Mediatek Helio G99,12499.0
62,MOTOROLA e13,Creamy White,64,4,5000,13MP,5MP,False,16.51,Unisoc T606,7299.0
63,realme C33 2023,Sandy Gold,128,4,5000,50MP,5MP,False,16.51,Unisoc T612,10499.0
64,realme C33 2023,Aqua Blue,128,4,5000,50MP,5MP,False,16.51,Unisoc T612,10499.0
65,SAMSUNG Galaxy F14 5G,GOAT Green,128,6,6000,50MP,13MP,False,16.76,"Exynos 1330, Octa Core ",14490.0
66,MOTOROLA g73 5G,Midnight Blue,128,8,5000,50MP,16MP,False,16.51,Mediatek Dimensity 930,16999.0
